0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:27 +0100] "GET /GestionS/index HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:29 +0100] "POST /GestionS/admin/redirect HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:29 +0100] "GET /GestionS/admin/projets HTTP/1.1" 200 9815
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:32 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:36 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9815
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:36 +0100] "POST /GestionS/projetA/edit HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:52:30 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:52:30 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:52:30 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:52:30 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:52:30 +0100] "GET /GestionS/resources/images/logoSB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:52:30 +0100] "GET /GestionS/resources/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:52:30 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:52:30 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:04 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:08 +0100] "POST /GestionS/projetA/edit HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:08 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:08 +0100] "GET /GestionS/admin/projets HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:11 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:14 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:14 +0100] "POST /GestionS/projetA/edit HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:28 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:34 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:34 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:40 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:40 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
